Car ID: 12, Speed: 5.777705551914289 Km/h
Car ID: 1, Speed: 7.520010072170608 Km/h
Car ID: 62, Speed: 6.639229637141639 Km/h
Car ID: 19, Speed: 10.250971464820543 Km/h
Car ID: 0, Speed: 14.453026426281498 Km/h
Car ID: 40, Speed: 8.080431563008473 Km/h
Car ID: 5, Speed: 5.902896601440082 Km/h
Car ID: 153, Speed: 7.981165510125346 Km/h
Car ID: 117, Speed: 6.540167109896939 Km/h
Car ID: 26, Speed: 9.31900503761548 Km/h
Car ID: 275, Speed: 5.9963134542400045 Km/h
Car ID: 377, Speed: 7.85768966509041 Km/h
Car ID: 271, Speed: 7.268990790072844 Km/h
Car ID: 317, Speed: 9.13933368636957 Km/h
Car ID: 78, Speed: 6.445318646734854 Km/h
Car ID: 475, Speed: 7.168650281210405 Km/h
Car ID: 450, Speed: 8.254660540592313 Km/h
Car ID: 238, Speed: 6.254217865643139 Km/h
Car ID: 518, Speed: 8.47939690263653 Km/h
Car ID: 249, Speed: 8.490991908713495 Km/h
Car ID: 648, Speed: 8.694855795594716 Km/h
Car ID: 653, Speed: 10.601573354250728 Km/h
Car ID: 356, Speed: 7.530195048556424 Km/h
Car ID: 582, Speed: 10.758742162599537 Km/h
Car ID: 677, Speed: 7.160904364295275 Km/h
Car ID: 730, Speed: 7.187187034527784 Km/h
Car ID: 650, Speed: 7.818237597361676 Km/h
Car ID: 619, Speed: 9.328202032640041 Km/h
Car ID: 682, Speed: 7.358245189812534 Km/h
